Area,Bauteiltyp,Betongüte,Breite/Höhe,Depth,Einheit,Expositionsklasse,Fenster/Türnummer,Flügelanzahl,GUID,Geschoss,GrossArea,GrossFootprintArea,GrossSideArea,GrossVolume,Height,IfcType,IsExternal,Length,LoadBearing,Material,Name,NetArea,NetFootprintArea,NetSideArea,NetVolume,NumberOfRiser,NumberOfTreads,Perimeter,Raumnummer,RequiredHeadroom,RiserHeight,Rohbaubreite,Rohbauhöhe,Sichtbetonklasse,Stahlbeton,Status,SurfaceSpreadOfFlame,Volume,WU,WalkingLineOffset,Width,Zugehörigkeit,id,Öffnungsbreite,Öffnungshöhe,Öffnungsrichtung,Überwachungsklasse
2.1311,Öffnung,,,0.18,,,,,3Difm9R0maxLbfbbdb38UP,,,,,,2.11,IfcOpeningElement,,,,,Tür-004,,,,,,,,,,,,,,,,,0.111556828,,,1.01,,78144,,,,
2.1311,Öffnung,,,0.18,,,,,3VDomhHmL8eq7y6939rpAE,,,,,,2.11,IfcOpeningElement,,,,,Tür-004,,,,,,,,,,,,,,,,,0.111556828,,,1.01,,78203,,,,
2.1311,Öffnung,,,0.18,,,,,3AhDcD9ZtnUFglLQSYnt5S,,,,,,2.11,IfcOpeningElement,,,,,Tür-004,,,,,,,,,,,,,,,,,0.111556828,,,1.01,,78262,,,,
1.75,Fenster,,,,,,0.EG--Fenster-001,4 Flügel,2Nc0wpLIL35eLfxBzJzB0e,EG,,,,,0.5,IfcWindow,True,,,,Fenster-001,,,,,,,8.0,,,,3.5,0.5,,,['EXISTING'],,,,,3.5,EG--,79773,,,,
1.75,Fenster,,,,,,0.EG--Fenster-002,4 Flügel,2IFBOuncv9ZAL1Z3vZn2Ai,EG,,,,,0.5,IfcWindow,True,,,,Fenster-002,,,,,,,8.0,,,,3.5,0.5,,,['EXISTING'],,,,,3.5,EG--,81265,,,,
1.75,Fenster,,,,,,0.EG--Fenster-003,4 Flügel,03iMzmUAb70PMTR4_SK9cw,EG,,,,,0.5,IfcWindow,True,,,,Fenster-003,,,,,,,8.0,,,,3.5,0.5,,,['EXISTING'],,,,,3.5,EG--,81346,,,,
2.1311,Tür,,,,,,0.EG--Tür-004,1 Flügel,1JPBs1$ZXD99qFBnASrHpZ,EG,,,,,2.11,IfcDoor,True,,,,Tür-004,,,,,,,6.24,,,,1.01,2.01,,,['EXISTING'],,,,,1.01,EG--,81427,,,L,
2.1311,Tür,,,,,,0.EG--Tür-004,1 Flügel,0fNO6DI0nCQwLzxqS$0TXP,EG,,,,,2.11,IfcDoor,True,,,,Tür-004,,,,,,,6.24,,,,1.01,2.01,,,['EXISTING'],,,,,1.01,EG--,81508,,,L,
2.1311,Tür,,,,,,0.EG--Tür-004,1 Flügel,3i4iwwigHERfQZ$_Gk1_Jq,EG,,,,,2.11,IfcDoor,True,,,,Tür-004,,,,,,,6.24,,,,1.01,2.01,,,['EXISTING'],,,,,1.01,EG--,81589,,,L,
,Wand,,,,,,,,1YtsYgDCP60OzGYMCJj9CE,EG,,0.391000092056,15.249,1.5249,3.9,IfcWall,True,3.91,True,,Wand-015,,0.391000092056,15.249,1.5249,,,,,,,,,,,['EXISTING'],,,,,0.1,,81913,,,,
,Wand,,,,,,,,24L7XeQ0r51AkLdKIJ$plE,EG,,0.391000092056,15.249,1.5249,3.9,IfcWall,True,3.91,True,,Wand-015,,0.391000092056,15.249,1.5249,,,,,,,,,,,['EXISTING'],,,,,0.1,,82237,,,,
,Wand,,,,,,,,3asJ80GTnCbOqFdVGerg6j,EG,,2.05160001849,56.199,10.12862,4.0,IfcWall,True,14.41,True,,Wand-013,,2.05160001849,44.5557,8.032826,,,,,,,,,,,['EXISTING'],,,,,0.18,,83376,,,,
1.75,Öffnung,,,0.18,,,,,0ot_uCp0J6IZ8rQxwvjnol,,,,,,0.5,IfcOpeningElement,,,,,Fenster-001,,,,,,,,,,,,,,,,,0.0955205,,,3.5,,83046,,,,
1.75,Öffnung,,,0.18,,,,,0lRRbQ7FUsSf1udbBsZ69_,,,,,,0.5,IfcOpeningElement,,,,,Fenster-001,,,,,,,,,,,,,,,,,0.0955205,,,3.5,,83105,,,,
1.75,Öffnung,,,0.18,,,,,0pfuRRujqbgrhoybJQyK7h,,,,,,0.5,IfcOpeningElement,,,,,Fenster-001,,,,,,,,,,,,,,,,,0.0955205,,,3.5,,83164,,,,
2.1311,Öffnung,,,0.18,,,,,0HXjfumixUE3dEitzjqadB,,,,,,2.11,IfcOpeningElement,,,,,Tür-004,,,,,,,,,,,,,,,,,0.111556828,,,1.01,,83223,,,,
2.1311,Öffnung,,,0.18,,,,,0X$jr8ll7z_9YR_8FOEzci,,,,,,2.11,IfcOpeningElement,,,,,Tür-004,,,,,,,,,,,,,,,,,0.111556828,,,1.01,,83282,,,,
2.1311,Öffnung,,,0.18,,,,,0pdVT1potivzhvvuieXVw6,,,,,,2.11,IfcOpeningElement,,,,,Tür-004,,,,,,,,,,,,,,,,,0.111556828,,,1.01,,83341,,,,
1.75,Fenster,,,,,,0.EG--Fenster-001,4 Flügel,12NndbDCH1cR7QnFE6evbt,EG,,,,,0.5,IfcWindow,True,,,,Fenster-001,,,,,,,8.0,,,,3.5,0.5,,,['EXISTING'],,,,,3.5,EG--,83457,,,,
1.75,Fenster,,,,,,0.EG--Fenster-001,4 Flügel,0PXnMxPWzFA9FqFep1Eivt,EG,,,,,0.5,IfcWindow,True,,,,Fenster-001,,,,,,,8.0,,,,3.5,0.5,,,['EXISTING'],,,,,3.5,EG--,83538,,,,
